"ref_area.label","source.label","indicator.label","time","obs_value"
"Angola","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2010",13.22
"Angola","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2009",13.14
"Angola","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2008",13.5
"Angola","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2007",12.61
"Angola","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2006",11.51
"Angola","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2005",10.76
"Albania","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2027",20.15
"Albania","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2026",19.42
"Albania","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2025",18.7
"Albania","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2024",18.05
"Albania","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2023",17.22
"Albania","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2022",16.95
"Albania","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2021",17.14
"Albania","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2020",16.56
"Albania","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2019",15.85
"Albania","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2018",16.17
"Albania","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2017",16.45
"Albania","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2016",16.73
"Albania","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2015",17.83
"Albania","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2014",18.59
"Albania","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2013",16.57
"Albania","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2012",15.16
"Albania","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2011",15.96
"Albania","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2010",14.95
"Albania","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2009",14.02
"Albania","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2008",13.99
"Albania","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2007",12.49
"Albania","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2006",11.43
"Albania","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2005",10.58
"United Arab Emirates","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2027",43.66
"United Arab Emirates","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2026",42.37
"United Arab Emirates","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2025",41.24
"United Arab Emirates","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2024",40.62
"United Arab Emirates","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2023",40.58
"United Arab Emirates","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2022",39.7
"United Arab Emirates","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2021",38.22
"United Arab Emirates","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2020",38.72
"United Arab Emirates","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2019",39.62
"United Arab Emirates","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2018",39.71
"United Arab Emirates","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2017",39.92
"United Arab Emirates","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2016",40.3
"United Arab Emirates","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2015",40.02
"United Arab Emirates","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2014",39.76
"United Arab Emirates","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2013",40.36
"United Arab Emirates","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2012",40.32
"United Arab Emirates","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2011",41.39
"United Arab Emirates","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2010",40.61
"United Arab Emirates","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2009",41.37
"United Arab Emirates","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2008",46.08
"United Arab Emirates","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2007",49.76
"United Arab Emirates","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2006",54.11
"United Arab Emirates","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2005",53.31
"Argentina","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2027",35.46
"Argentina","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2026",34.6
"Argentina","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2025",33.81
"Argentina","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2024",32.8
"Argentina","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2023",32.34
"Argentina","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2022",34.16
"Argentina","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2021",34.62
"Argentina","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2020",39.23
"Argentina","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2019",35.33
"Argentina","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2018",35.9
"Argentina","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2017",37.14
"Argentina","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2016",35.99
"Argentina","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2015",36.49
"Argentina","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2014",35.42
"Argentina","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2013",35.97
"Argentina","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2012",35.11
"Argentina","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2011",35.16
"Argentina","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2010",34.13
"Argentina","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2009",31.7
"Argentina","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2008",33.21
"Argentina","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2007",32.4
"Argentina","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2006",30.51
"Argentina","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2005",29.27
"Armenia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2027",29.63
"Armenia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2026",27.68
"Armenia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2025",25.96
"Armenia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2024",24.37
"Armenia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2023",23.33
"Armenia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2022",22.65
"Armenia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2021",19.94
"Armenia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2020",20.68
"Armenia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2019",21.7
"Armenia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2018",19.41
"Armenia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2017",19.43
"Armenia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2016",17.99
"Armenia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2015",17.96
"Armenia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2014",15.96
"Armenia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2013",15.49
"Armenia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2012",15.5
"Armenia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2011",14.67
"Armenia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2010",13.94
"Armenia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2009",13.59
"Armenia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2008",13.85
"Armenia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2007",13.05
"Armenia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2006",11.56
"Armenia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2005",10.26
"Australia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2027",73.81
"Australia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2026",72.74
"Australia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2025",71.81
"Australia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2024",71.06
"Australia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2023",69.9
"Australia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2022",70.31
"Australia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2021",70.28
"Australia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2020",69.92
"Australia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2019",68.3
"Australia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2018",68.26
"Australia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2017",67.72
"Australia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2016",67.89
"Australia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2015",66.89
"Australia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2014",66.68
"Australia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2013",65.17
"Australia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2012",64
"Australia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2011",61.99
"Australia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2010",61.72
"Australia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2009",61.92
"Australia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2008",60.13
"Australia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2007",59.64
"Australia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2006",59.23
"Australia","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2005",58.73
"Austria","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2027",89.96
"Austria","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2026",88.08
"Austria","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2025",86.71
"Austria","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2024",85.59
"Austria","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2023",85.14
"Austria","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2022",86.38
"Austria","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2021",84.5
"Austria","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2020",81.48
"Austria","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2019",80.83
"Austria","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2018",80.76
"Austria","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2017",80.01
"Austria","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2016",78.4
"Austria","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2015",78.41
"Austria","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2014",76.95
"Austria","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2013",76.29
"Austria","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2012",75.85
"Austria","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2011",74.95
"Austria","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2010",73.7
"Austria","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2009",72.81
"Austria","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2008",72.22
"Austria","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2007",71.9
"Austria","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2006",70.82
"Austria","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2005",69.9
"Azerbaijan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2027",27.5
"Azerbaijan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2026",26.95
"Azerbaijan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2025",26.41
"Azerbaijan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2024",25.8
"Azerbaijan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2023",24.83
"Azerbaijan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2022",24.55
"Azerbaijan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2021",24.24
"Azerbaijan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2020",22.81
"Azerbaijan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2019",23.45
"Azerbaijan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2018",22.95
"Azerbaijan","ILO - Modelled Estimates","Output per hour worked (GDP constant 2021 international $ at PPP) -- ILO modelled estimates, Nov. 2025","2017",22.96
